T,cp error,u error,h error,s0 error,p0 error
-100,-1.5751,0.84825,0.73502,0.093184,1.1578
0,-0.41325,0.026233,0.092618,0.011521,-0.58272
100,0.45528,0.048629,0.085316,0.013339,-0.55045
200,0.73702,0.23423,0.20449,0.035063,-0.024372
300,0.55483,0.36201,0.28748,0.052578,0.43146
400,0.17121,0.38725,0.29858,0.058563,0.64607
500,-0.18873,0.3314,0.2548,0.057809,0.63306
600,-0.40208,0.23955,0.18583,0.051285,0.48202
700,-0.44416,0.14581,0.11382,0.044558,0.29062
800,-0.35109,0.075318,0.06447,0.037289,0.12508
900,-0.16355,0.034573,0.031372,0.034405,0.024163
1000,0.064297,0.026402,0.023263,0.032703,0
1100,0.27295,0.1654,0.12416,0.033757,0.048333
1200,0.41349,0.076793,0.059532,0.037586,0.14834
1300,0.4383,0.11428,0.081754,0.041085,0.26816
1400,0.29241,0.13582,0.10388,0.044463,0.36423
1500,-0.062066,0.14244,0.10408,0.044496,0.39471
1600,-0.67083,0.1066,0.0781,0.041784,0.31306
1700,-1.5633,0.016846,0.011805,0.033948,0.06367
1800,-2.7845,-0.13799,-0.10335,0.01813,-0.40207
1900,-4.3639,-0.36887,-0.2798,-0.0055253,-1.1313
2000,-6.3457,-0.6968,-0.52525,-0.038362,-2.1649
