Table 5s:  Ideal Gas Properties of Air at Low Pressure (SI),,,,,,,,
,,,,,,,,
T,u,h,so,Po,vo,cp,cv,k
°C,kJ/kg,kJ/kg, kJ/(kg·K),,, kJ/(kg·K), kJ/(kg·K),
,,,,,,,,
-200.0000,52.3200,73.3300,5.2906,0.0101,20488.0000,1.0025,0.7152,1.4016
-150.0000,88.0900,123.4600,5.8128,0.0624,5592.1000,1.0025,0.7153,1.4015
-100.0000,123.8500,173.5800,6.1544,0.2051,2391.5000,1.0026,0.7153,1.4015
-50.0000,159.6500,223.7400,6.4090,0.4979,1269.6000,1.0030,0.7158,1.4013
0.0000,195.4600,273.9200,6.6119,1.0095,766.5200,1.0041,0.7169,1.4007
25.0000,213.4000,299.0300,6.6999,1.3715,615.8000,1.0051,0.7179,1.4001
50.0000,231.3600,324.1800,6.7808,1.8186,503.3600,1.0065,0.7193,1.3993
100.0000,267.4200,374.6000,6.9259,3.0147,350.6300,1.0107,0.7235,1.3970
150.0000,303.7400,425.2800,7.0533,4.6998,255.0500,1.0169,0.7296,1.3937
200.0000,340.4200,476.3200,7.1673,6.9913,191.7100,1.0249,0.7376,1.3894
250.0000,377.5400,527.8000,7.2707,10.0240,147.8500,1.0345,0.7472,1.3844
300.0000,415.1700,579.7900,7.3656,13.9520,116.3700,1.0452,0.7580,1.3789
350.0000,453.3600,632.3400,7.4535,18.9500,93.1520,1.0568,0.7695,1.3732
400.0000,492.1300,685.4800,7.5356,25.2180,75.6170,1.0687,0.7815,1.3675
450.0000,531.5100,739.2200,7.6126,32.9770,62.1200,1.0808,0.7935,1.3620
500.0000,571.4900,793.5600,7.6852,42.4750,51.5630,1.0927,0.8054,1.3566
550.0000,612.0600,848.4900,7.7540,53.9870,43.1920,1.1042,0.8170,1.3516
600.0000,653.1900,903.9800,7.8195,67.8120,36.4750,1.1154,0.8281,1.3468
650.0000,694.8700,960.0200,7.8819,84.2800,31.0280,1.1260,0.8388,1.3424
700.0000,737.0700,1016.6000,7.9415,103.7500,26.5710,1.1360,0.8488,1.3384
750.0000,779.7500,1073.6000,7.9987,126.6100,22.8920,1.1455,0.8583,1.3346
800.0000,822.8900,1131.1000,8.0536,153.2800,19.8830,1.1544,0.8672,1.3312
850.0000,866.4700,1189.1000,8.1063,184.2100,17.2710,1.1628,0.8756,1.3280
900.0000,910.4500,1247.4000,8.1571,219.8900,15.1130,1.1706,0.8834,1.3251
950.0000,954.8100,1306.1000,8.2062,260.8400,13.2840,1.1779,0.8907,1.3225
1000.0000,999.5200,1365.2000,8.2535,307.6000,11.7250,1.1848,0.8976,1.3200
1100.0000,1088.6000,1483.0000,8.3436,420.9800,9.2400,1.1973,0.9101,1.3156
1200.0000,1181.5000,1604.6000,8.4281,565.1900,7.3836,1.2083,0.9210,1.3118
1300.0000,1274.1000,1726.0000,8.5078,746.0100,5.9736,1.2180,0.9308,1.3086
1400.0000,1367.7000,1848.2000,8.5831,969.9100,4.8867,1.2267,0.9395,1.3057
1500.0000,1462.0000,1971.3000,8.6546,1244.0000,4.0377,1.2345,0.9473,1.3032
1600.0000,1557.1000,2095.1000,8.7225,1576.1000,3.3666,1.2416,0.9544,1.3010
1700.0000,1652.9000,2219.6000,8.7872,1974.9000,2.8302,1.2480,0.9608,1.2989
1800.0000,1749.3000,2344.7000,8.8491,2449.8000,2.3972,1.2539,0.9667,1.2971
1900.0000,1846.2000,2470.4000,8.9083,3011.0000,2.0446,1.2593,0.9721,1.2955
2000.0000,1943.7000,2596.6000,8.9650,3669.4000,1.7549,1.2644,0.9771,1.2939
2100.0000,2041.7000,2723.3000,9.0196,4437.2000,1.5150,1.2690,0.9818,1.2925
2200.0000,2140.1000,2850.5000,9.0720,5327.2000,1.3151,1.2734,0.9862,1.2913
2300.0000,2239.0000,2978.0000,9.1226,6353.2000,1.1473,1.2775,0.9902,1.2901
2400.0000,2338.2000,3106.0000,9.1714,7530.1000,1.0056,1.2813,0.9940,1.2889
2500.0000,2437.8000,3234.3000,9.2185,8873.5000,0.8853,1.2848,0.9976,1.2879
2600.0000,2537.7000,3363.0000,9.2641,10401.0000,0.7826,1.2882,1.0010,1.2869
2700.0000,2638.0000,3492.0000,9.3082,12129.0000,0.6944,1.2914,1.0042,1.2860
2800.0000,2738.6000,3621.3000,9.3510,14078.0000,0.6184,1.2944,1.0071,1.2852
2900.0000,2839.5000,3750.9000,9.3925,16267.0000,0.5526,1.2972,1.0100,1.2844
3000.0000,2940.6000,3880.8000,9.4328,18719.0000,0.4953,1.2999,1.0126,1.2836
,,,,,,,,
,,,,,,,,
